公司名称,财务风险-流动性风险-流动资产周转率,财务风险-流动性风险-应收账款周转率,财务风险-筹资风险-纳税信用等级,财务风险-筹资风险-征信信用等级,财务风险-筹资风险-1/财务费用率,财务风险-筹资风险-1/产权比率,财务风险-筹资风险-融资轮次,财务风险-筹资风险-股权出质总计,财务风险-投资风险-对外投资数量,财务风险-短期清偿能力-流动比率,财务风险-短期清偿能力-速动比率,财务风险-短期清偿能力-现金比率,财务风险-短期清偿能力-现金流量比率,财务风险-长期清偿能力-资产负债率,财务风险-长期清偿能力-长期资本负债率,财务风险-长期清偿能力-利息保障倍数,财务风险-长期清偿能力-现金流量利息保障倍数,财务风险-长期清偿能力-现金流量债务比,财务风险-盈利能力-销售净利率,财务风险-盈利能力-总资产报酬率,财务风险-盈利能力-主营业务利润率,财务风险-盈利能力-净资产收益率,财务风险-资产利用-存货周转率,财务风险-资产利用-营运资本周转率,财务风险-资产利用-非流动资产周转率,财务风险-资产利用-总资产周转率,财务风险-资产利用-成本费用利润率,财务风险-成长能力-营业收入增长率,财务风险-成长能力-总资产增长率,财务风险-资本结构-上市股东持股比例,财务风险-上市情况-是否上市,经营风险-知识产权-专利数量,经营风险-知识产权-软件著作权数量,经营风险-知识产权-作品著作权数量,经营风险-司法风险-诉讼数量,经营风险-其它风险-经营异常次数,经营风险-其它风险-行政处罚次数,经营风险-其它风险-动产质押次数,经营风险-其它风险-自身风险,经营风险-其它风险-周边风险,经营风险-组织结构风险-股东数量（注册）,经营风险-组织结构风险-第一大股东持股比例（注册）,经营风险-战略风险-竞品信息,经营风险-战略风险-公众号数
万邦联合（北京）设备有限公司,1.3088380231,12.8059999063,11,11,1429.9294814353,1.2817627353,0,0,1,192.7880649005,145.143917866,0.1179759804,-0.511481334,47.7893745414,0,16138000,-22319000,-0.511481334,0.1105026056,0.1767405185,0.3557026833,0.2552178382,3.3848964221,1.7380522676,9.7956556521,0.7707016749,0.1728059261,0.4500131727,-0.4799785834,0,0,4,0,0,0,0,0,0,0,0,2,0.85,0,0
三环永磁（北京）科技有限公司,0.9441845209,2.3723169453,10,10,-2102.9541902807,6.4562899464,0,0,2,532.8653513119,473.9531717669,0.3712724087,0.5002452501,13.411513573,0,168347000,99945999.9999999,0.5002452501,0.142353339,0.1130057997,0.3495966014,0.1109327202,5.4992395648,0.7484364133,1.5226929981,0.4344957439,0.201124453,-0.2274289116,0.0072474596,0,0,8,0,0,0,0,0,0,0,2,2,0.6,0,0
世纪良基集团有限公司,0.5164502389,8.1779003048,9,9,9.9234228104,0.8122196307,0,0,6,87.3373718107,74.0982598048,0.0029832338,0.099292972,55.1809495037,0,1179000.00000001,67466000,0.099292972,0.0038469696,0.000957495,0.2876058397,0.0021363572,2.4037018242,-2.5131337608,0.3389574105,0.1756016624,0.0038618259,4.017004183,0.7572543541,0,0,46,0,0,1,0,0,0,0,0,3,0.91,0,0
东电创新（北京）科技发展股份有限公司,0.6450636503,2.6102310362,9,9,287.1513315573,1.2417008309,8,0,2,221.46563159,208.3971365882,1.3244346564,-0.106008826,44.6090562398,0,72226000,-29810000,-0.106008826,0.1527413028,0.1145767896,0.3754633135,0.1757315226,6.8166206749,0.7334006683,32.9437095024,0.3973907464,0.2145413817,1.783123469,2.6428843712,0,0,1,27,0,0,0,0,0,0,0,5,0.5909,10,1
中人时代教育科技（北京）股份有限公司,1.9999989474,4.7499940625,15,15,3800000,-0.7209301487,0,0,4,22.0930232558,22.0930232558,0.1279069619,-0.6279069037,358.3333333333,0,-17100000,-5400000,-0.6279069037,-4.4999988158,-7.125,-0.0263157825,2.7580645161,3900000,-0.5820896391,7.7999844,1.6249993229,-0.818181779,-0.1093750057,-0.7948717269,0,0,0,3,0,0,0,0,0,0,0,6,0.4237,10,1
中信网络科技股份有限公司,2.0355275991,4.8397892262,8,8,89.2336950355,1.6816071366,0,0,0,262.1734897983,262.1445944695,1.3955658255,0.7193141407,37.2911091536,0,48810000.0000001,256406000,0.7193141407,0.0194077225,0.0510627881,0.2357755203,0.0615908966,14041.3296958282,2.5018440247,67.76959525,1.5130225263,0.0263820012,2.775482209,0.0933887567,0,0,0,47,0,1,0,0,0,0,3,6,0.65,10,0
中关村科技软件股份有限公司,2.1338000863,28.9186041735,11,11,-3328.7604734027,8.8519170156,0,0,2,661.1257406188,542.5485516787,3.939186803,0.95000819,10.1502660352,0,-4456000.00000001,23088999.9999999,0.95000819,-0.0123957662,-0.0186099348,0.2495223977,-0.0197547621,8.9058257085,1.8819806866,3.2586399119,1.0718963211,-0.0127273921,2.8258216023,-0.4033029378,0.2775,1,0,57,0,1,0,0,0,1,8,9,0.2775,10,0
中农博乐科技开发有限公司,1.2631156856,39413000,14,14,39413000,3.1499713256,0,0,1,189.03,189.03,3.0101099026,0.3804530274,70.85,0,11991000,2032000,0.3804530274,0.3000025296,0.2175395947,0.9999999746,0.2375251105,0,0,0,0,1.8192987681,32822000,2.6130700962,0,0,4,0,0,0,0,0,0,0,0,5,0.55,0,0
中博农(北京)牧场建设有限公司,1.7757309053,12.5764162157,10,10,1573033000,1.8319148301,0,0,4,268.2129351245,240.5977976196,0.0369929664,0,35.3117963653,0,292670000,0,0,0.1814380244,0.3129082819,0.9999999994,0.4717152335,0,0,0,0,2.3668078996,1.4823054529,0.4997474549,0,0,11,0,0,0,0,0,0,1,1,1,1,0,0
中博农畜牧科技股份有限公司,0.9722970047,2.8297383904,6,6,34.2489679852,1.3362636609,4,0,5,191.9813925731,117.9223970535,0.311426109,-0.2578245387,42.803388009,0,355564000,-463123000,-0.2578245387,0.0879484899,0.0847273901,0.9999999997,0.1228554181,0,0,0,0,0.6446012791,-0.2096705227,0.145350397,0,0,41,8,0,11,0,0,0,9,16,20,0.4406,10,0
